id;nda;Promotoria de Justiça;Comarca;Endereço;Sala;e-mail;Telefones;Celular;Situação;Titular;Motivo Afastamento Titular DG;Responsável Atual;Entrância;Atribuições;Resolução;url_resolucao;Coord_PJs
131;.;18ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Adriana Marques Thiago;;;INTERMEDIÁRIA;"Atuação perante a 5ª Vara Criminal, concorrentemente com a 16ª Promotoria de Justiça, e nas sessões de julgamento do Tribunal do Júri, concorrentemente com a 1ª, 2ª, 6ª, 7ª, 8ª, 10ª, 16ª e 19ª Promotorias de Justiça;";;;
132;.;19ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Carlos Luiz Wolff de Pina;Subcoordenador do Centro de Inteligência;Bruno Henrique Da Silva Ferreira*;INTERMEDIÁRIA;Atuação perante a 4ª Vara Criminal e a Vara Regional de Execução Penal, além das visitas e inspeções aos estabelecimentos prisionais, e nas sessões de julgamento do Tribunal do Júri, concorrentemente com a 1ª, 2ª, 6ª, 7ª, 8ª, 10ª, 16ª e 18ª Promotorias de Justiça.;;;
133;.;1ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Márcio Lopes Toledo;;;INTERMEDIÁRIA;"Atuação junto às 1ª e 2ª Varas Cíveis e, concorrentemente com a 4ª Promotoria de Justiça, na fiscalização das fundações e entidades de interesse social, bem como na defesa do consumidor e do cidadão;";;;
134;.;2ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Cássio Roberto Teruel Zarzur;Assessor Jurídico- Administrativo, lotado na SGJAJ;Antonella Da Cunha Paladino*;INTERMEDIÁRIA;"Atuação perante a 3ª Vara de Família e Sucessões e, concorrentemente com a 8ª e 13ª Promotorias de Justiça, na defesa da filiação;";;;
135;.;3ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Márcio do Nascimento;;;INTERMEDIÁRIA;"Atuação na área da infância e juventude e na defesa da filiação, concorrentemente com a 11ª Promotoria de Justiça;";;;
136;.;4ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Reuder Cavalcante Motta;;;INTERMEDIÁRIA;"Atuação junto às 3ª, 4ª, 5ª Varas Cíveis e, concorrentemente com a 1ª Promotoria de Justiça, na fiscalização das fundações e entidades de interesse social, bem como na defesa do consumidor e cidadão;";;;
137;.;5ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Milton Marcolino dos Santos Júnior;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais, concorrentemente com a 24ª Promotoria de Justiça;";;;
138;.;6ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Maria Helena Gomes Medeiros;;;INTERMEDIÁRIA;"Atuação perante o Juizado Especial Criminal e os Juizados Especiais Cíveis;";;;
139;.;7ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Marcelo Faria da Costa Lima;Assessor Jurídico- administrativo da PGJ, com prejuízo;Simone Disconsi De Sá Campos (Automática);INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal, concorrentemente com a 16ª Promotoria de Justiça;";;;
140;.;8ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Cláudia Jardim Cruvinel de Miranda Coelho;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara de Família e Sucessões e, concorrentemente com a 2ª e 13ª Promotorias de Justiça, na defesa da filiação;";;;
141;.;9ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Élvio Vicente da Silva;;;INTERMEDIÁRIA;"Atuação na defesa do meio ambiente, do patrimônio histórico e cultural e da ordem urbanística, concorrentemente com a 14ª Promotoria de Justiça, bem como perante as Varas da Fazenda Pública Municipal, de Registros Públicos e Ambiental, e da Fazenda Pública Estadual, concorrentemente com a 10ª, 14ª e 18ª Promotorias de Justiça;";;;
142;.;10ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Ana Paula Antunes Vieira Nery;;;INTERMEDIÁRIA;"Atuação na defesa do patrimônio público, inclusive com o acompanhamento das ações judiciais propostas, concorrentemente com a 18ª Promotoria de Justiça, bem como perante as Varas da Fazenda Pública Municipal, de Registros Públicos e Ambiental, e da Fazenda Pública Estadual, concorrentemente com a 9ª, 14ª e 18ª Promotorias de Justiça;";;;
143;.;11ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Cláudio França Magalhães;;;INTERMEDIÁRIA;"Atuação na área da infância e juventude e na defesa da filiação, concorrentemente com a 3ª Promotoria de Justiça;";;;
144;.;12ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Carlos Vinícius Alves Ribeiro;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara Criminal, concorrentemente com a 17ª Promotoria de Justiça;";;;
145;.;13ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Meire Cristini Albanesi;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara de Família e Sucessões e, concorrentemente com a 2ª e 8ª Promotorias de Justiça, na defesa da filiação;";;;Coordenadora das PJs de Aparecida de Goiânia
146;.;14ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Paulo Ricardo Gontijo Loyola;;;INTERMEDIÁRIA;"Atuação na defesa do meio ambiente, do patrimônio histórico e cultural e da ordem urbanística, concorrentemente com a 9ª Promotoria de Justiça, bem como perante as Varas da Fazenda Pública Municipal, de Registros Públicos e Ambiental, e da Fazenda Pública Estadual, concorrentemente com a 9ª, 10ª e 18ª Promotorias de Justiça;";;;
147;.;15ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Alessandra Aparecida de Melo Silva;;;INTERMEDIÁRIA;"Atuação perante a 3ª Vara Criminal, concorrentemente com a 19ª Promotoria de Justiça;";;;
148;.;16ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Simone Disconsi de Sá Campos;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal, concorrentemente com a 7ª Promotoria de Justiça;";;;
149;.;17ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Arthur José Jacon Matias;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara Criminal, concorrentemente com a 12ª Promotoria de Justiça;";;;
150;.;18ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Suelena Carneiro Caetano Fernandes Jayme atuação na defesa do patrimônio público, inclusive com o;;;INTERMEDIÁRIA;"Acompanhamento das ações judiciais propostas, concorrentemente com a 10ª Promotoria de Justiça, bem como perante as Varas da Fazenda Pública Municipal, de Registros Públicos e Ambiental, e da Fazenda Pública Estadual, concorrentemente com a 9ª, 10ª e 14ª Promotorias de Justiça;";;;
151;.;19ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;VAGA;** Sem Titular;;Milton Marcolino Dos Santos Júnior *;INTERMEDIÁRIA;"Atuação perante a 3ª Vara Criminal, concorrentemente com a 15ª Promotoria de Justiça;";;;
152;.;20ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;PROVIDA;Valéria Cristina de Paula Magalhães;;;INTERMEDIÁRIA;"Atuação perante o Juizado de Violência Doméstica e Familiar contra a Mulher, concorrentemente com a 21ª Promotoria de Justiça;";;;
153;.;21ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;VAGA;** Sem Titular;;;INTERMEDIÁRIA;"Atuação perante o Juizado de Violência Doméstica e Familiar contra a Mulher, concorrentemente com a 20ª Promotoria de Justiça;";;;
154;.;22ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;VAGA;** Sem Titular;;Ana Luísa Monteiro Sousa (Automática 23ª Pj) *;INTERMEDIÁRIA;"Atuação perante a 4ª Vara Criminal, concorrentemente com a 23ª Promotoria de Justiça;";;;
155;.;23ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;VAGA;** Sem Titular;;Ana Luísa Monteiro Sousa*;INTERMEDIÁRIA;"Atuação perante atuação perante    a  4ª Vara Criminal, concorrentemente com a 22ª Promotoria de Justiça; concorrentemente com a 22ª Promotoria de Justiça;";;;
156;.;24ª PROMOTORIA DE JUSTIÇA DE APARECIDA DE GOIÂNIA;APARECIDA DE GOIÂNIA;;;;;;VAGA;** Sem Titular;;Isabela Oliva Cassará*;INTERMEDIÁRIA;Atuação perante a 1ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais, concorrentemente com a 5ª Promotoria de Justiça.;;;
157;.;1ª PROMOTORIA DE JUSTIÇA DE ARAGARÇAS;ARAGARÇAS;;;;;;PROVIDA;Ana Carla Dias Lucas Mascarenhas;;;INTERMEDIÁRIA;"Atuação em matéria criminal; defesa do consumidor e do cidadão;";;;
158;.;2ª PROMOTORIA DE JUSTIÇA DE ARAGARÇAS;ARAGARÇAS;;;;;;PROVIDA;Dyrant Cardoso de Oliveira;;;INTERMEDIÁRIA;"Atuação em matéria cível; atuação na infância e juventude; defesa do meio ambiente e patrimônio público.";;;
159;.;1ª PROMOTORIA DE JUSTIÇA DE CALDAS NOVAS;CALDAS NOVAS;;;;;;PROVIDA;Pedro Eugenio Beltrame Benatti;;;INTERMEDIÁRIA;"Atuação perante a Vara de Família e Sucessões; defesa do cidadão, exceto saúde; fiscalização das fundações;";;;
160;.;2ª PROMOTORIA DE JUSTIÇA DE CALDAS NOVAS;CALDAS NOVAS;;;;;;PROVIDA;Cristhiano Menezes da Silva Caires;;;INTERMEDIÁRIA;"Atuação perante a 3ª Vara Criminal (Crimes em geral);";;;
161;.;3ª PROMOTORIA DE JUSTIÇA DE CALDAS NOVAS;CALDAS NOVAS;;;;;;PROVIDA;Rafael Machado de Oliveira;Coordenador do GGI;Pedro Eugenio Beltrame Benatti (Automática);INTERMEDIÁRIA;"Atuação perante a 1ª Vara (Cível e da Infância e Juventude); defesa da infância e juventude, inclusive do direito à saúde; defesa da educação e do consumidor;";;;
162;.;4ª PROMOTORIA DE JUSTIÇA DE CALDAS NOVAS;CALDAS NOVAS;;;;;;PROVIDA;Fabiana Cândido;;;INTERMEDIÁRIA;"Atuação perante o Juizado Especial Cível e Criminal; defesa da saúde, do meio ambiente e da ordem urbanística";;;
163;.;5ª PROMOTORIA DE JUSTIÇA DE CALDAS NOVAS;CALDAS NOVAS;;;;;;PROVIDA;Augusto César Borges Souza;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara (Cível, Fazendas Públicas Estadual e Residual e Registros Públicos) e a 3ª Vara (Cível, Fazenda Pública Municipal e Ambiental); defesa do patrimônio público, nas esferas cível e criminal;";;;
164;.;6ª PROMOTORIA DE JUSTIÇA DE CALDAS NOVAS;CALDAS NOVAS;;;;;;PROVIDA;Sávio Fraga e Greco;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal (Crimes dolosos contra a vida, Pres. Tribunal do Júri e Execução Penal);";;;Coordenador das PJs de Caldas Novas
165;.;7ª PROMOTORIA DE JUSTIÇA DE CALDAS NOVAS;CALDAS NOVAS;;;;;;VAGA;** Sem Titular;;Augusto César Borges Souza (Eventual);INTERMEDIÁRIA;"""Atuação perante a 2ª Vara Criminal (Crimes em geral)."""" Catalão (Resolução nº 03/-CPJ) Município/Distrito: Davinópolis, Ouvidor, Três Ranchos, Santo Antônio do Rio Verde e Pires Belo MINISTÉRIO PÚBLICO DE GOIÁS – Avenida Cristiano Ayres esquina com Nicolau Abrão, n.º 125, Centro, Catalão-GO, CEP: 75.701-380, telefone: (64) -/-.""";;;
166;.;1ª PROMOTORIA DE JUSTIÇA DE CATALÃO;CATALÃO;;;;;;PROVIDA;Fábio Santesso Bonnas;;;INTERMEDIÁRIA;"Atuação perante a Vara de Família e da Infância e da Juventude, concorrentemente com a 3ª Promotoria de Justiça em matéria de família; atuação na defesa da infância e juventude, extrajudicial e judicialmente;";;;
167;.;2ª PROMOTORIA DE JUSTIÇA DE CATALÃO;CATALÃO;;;;;;PROVIDA;Fernando Gomes Rosa;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal (crimes em geral) e, de forma exclusiva, em matéria de execução penal;";;;Coordenador das PJs de Catalão
168;.;3ª PROMOTORIA DE JUSTIÇA DE CATALÃO;CATALÃO;;;;;;PROVIDA;Roni Alvacir Vargas;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara (Cível e da Fazenda Pública Estadual); atuação perante a Vara de Família e da Infância e da Juventude, concorrentemente com a 1ª Promotoria de Justiça em matéria de família ; defesa do meio ambiente, nas esferas cível e criminal, extrajudicial e judicialmente;";;;
169;.;4ª PROMOTORIA DE JUSTIÇA DE CATALÃO;CATALÃO;;;;;;PROVIDA;Luís Antônio Ribeiro Júnior;;;INTERMEDIÁRIA;"""Atuação perante a 2ª Vara Criminal (crimes em geral, crimes dolosos contra a vida e Tribunal do Júri, e crimes envolvendo a violência doméstica - Lei n. 11.340/06) e, de forma exclusiva, no controle externo da atividade policial.""""""";;;
170;.;5ª PROMOTORIA DE JUSTIÇA DE CATALÃO;CATALÃO;;;;;;PROVIDA;Ariete Cristina Rodrigues Vale;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara (Cível, das Fazendas Públicas Municipal, de Registros Públicos e ambiental); defesa do patrimônio público, nas esferas cível e criminal, e do consumidor, extrajudicial e judicialmente;";;;
171;.;6ª PROMOTORIA DE JUSTIÇA DE CATALÃO;CATALÃO;;;;;;PROVIDA;Gabriela Rezende Silva;;;INTERMEDIÁRIA;"Atuação perante o 1º e o 2º Juizado Especial Cível e Criminal; defesa do cidadão, extrajudicial e judicialmente; fundações.";;;
172;.;1ª PROMOTORIA DE JUSTIÇA DE CERES;CERES;;;;;;VAGA;** Sem Titular;;Felipe Oltramari (Responde Pela Coordenação Das Pjs De Ceres);INTERMEDIÁRIA;1ª Vara (Infância e Juventude, Cível, Criminal) e Juizado Especial Cível e Criminal e meio ambiente;;;
173;.;2ª PROMOTORIA DE JUSTIÇA DE CERES;CERES;;;;;;VAGA;** Sem Titular;;Yule Reis Mota *;INTERMEDIÁRIA;2ª Vara (cível, criminal, Fazendas Públicas e Registro Público) e Juizado Especial Cível e Criminal, Fundações, Consumidor, Cidadão e Patrimônio Público;;;
174;.;1ª PROMOTORIA DE JUSTIÇA DE CIDADE OCIDENTAL;CIDADE OCIDENTAL;;;;;;PROVIDA;Camila Silva de Souza Otsuka;;;INTERMEDIÁRIA;Juizado Especial Cível e Criminal, Fazendas Públicas, Registros Públicos, Patrimônio Público e Fundações;;;
175;.;2ª PROMOTORIA DE JUSTIÇA DE CIDADE OCIDENTAL;CIDADE OCIDENTAL;;;;;;PROVIDA;Caroline Ianhez;Assessora Jurídico- Administrativa da PGJ, lotada na SPGJAJ, com prejuízo;Rodrigo Martins Da Costa*;INTERMEDIÁRIA;"Vara Criminal, exceto violência doméstica; execução penal, e controle externo da atividade policial";;;
176;.;3ª PROMOTORIA DE JUSTIÇA DE CIDADE OCIDENTAL;CIDADE OCIDENTAL;;;;;;PROVIDA;Alexandre Xavier de Souza Rocha;;;INTERMEDIÁRIA;Violência doméstica, infância e juventude, cidadão e controle externo da atividade policial;;;Coordenador das PJs de Cidade Ocidental
177;.;4ª PROMOTORIA DE JUSTIÇA DE CIDADE OCIDENTAL;CIDADE OCIDENTAL;;;;;;PROVIDA;Gerusa Fávero Girardelli e Lemos;;;INTERMEDIÁRIA;Cível, família e sucessões, consumidor, meio ambiente e urbanismo;;URL;
178;.;1ª PROMOTORIA DE JUSTIÇA DE CRISTALINA;CRISTALINA;;;;;;PROVIDA;Márcio Vieira Villas Boas Teixeira de Carvalho;;;INTERMEDIÁRIA;"Vara Criminal, exceto aqueles relativos a crimes dolosos contra a vida e execução penal; e Meio Ambiente";;;Coordenador das PJs de Cristalina
179;.;2ª PROMOTORIA DE JUSTIÇA DE CRISTALINA;CRISTALINA;;;;;;PROVIDA;Bernardo Monteiro Frayha;;;INTERMEDIÁRIA;"Vara Criminal, crimes dolosos contra a vida; Execução Penal; Juizado Especial Cível e Criminal; Controle Externo da Atividade Policial; e Patrimônio Público";;;
180;.;3ª PROMOTORIA DE JUSTIÇA DE CRISTALINA;CRISTALINA;;;;;;PROVIDA;Caio Affonso Bizon;;;INTERMEDIÁRIA;Cível, Infância e Juventude, Consumidor e Cidadão;;;
181;.;PROMOTORIA DE JUSTIÇA DE CRIXÁS;CRIXÁS;;;;;;PROVIDA;Ana Paula Ferreira Gomes;;;INTERMEDIÁRIA;Plena.;;;
182;.;1ª PROMOTORIA DE JUSTIÇA DE FORMOSA;FORMOSA;;;;;;PROVIDA;Fernanda Balbinot;CNMP - 23/09/ a 22/09/;Bernardo Monteiro Frayha *;INTERMEDIÁRIA;"Atuação perante a 2ª Vara Criminal (Crimes em geral e Violência Doméstica Contra a Mulher), exceto nos crimes relativos à violência doméstica e familiar contra a mulher e nos crimes contra a administração pública;";;;
183;.;2ª PROMOTORIA DE JUSTIÇA DE FORMOSA;FORMOSA;;;;;;PROVIDA;Ramiro Carpenedo Martins Netto;;;INTERMEDIÁRIA;"Atuação perante a 2ª e 3ª Varas Cíveis (Cível, Família e Sucessões); defesa do meio ambiente e da ordem urbanística; fiscalização das fundações;";;;
184;.;3ª PROMOTORIA DE JUSTIÇA DE FORMOSA;FORMOSA;;;;;;PROVIDA;Douglas Roberto Ribeiro de Magalhães Chegury;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal (Crimes dolosos contra a vida, Pres. do Tribunal do Júri e execuções penais), exclusivamente nas sessões de julgamento do Tribunal do Júri e recursos decorrentes; atuação em matéria relativa à violência doméstica e familiar contra a mulher perante a 2ª Vara Criminal; atuação nos crimes contra a administração pública; Pres. do Tribunal do Júri e execuções penais), exclusivamente nas sessões de julgamento do Tribunal do Júri e recursos decorrentes; atuação em matéria relativa à violência doméstica e familiar contra a mulher perante a 2ª Vara Criminal; atuação nos crimes contra a administração pública;";;;
185;.;4ª PROMOTORIA DE JUSTIÇA DE FORMOSA;FORMOSA;;;;;;PROVIDA;Lucas Danilo Vaz Costa Júnior;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara (Cível e da Infância e Juventude); defesa do consumidor, da educação e da infância e juventude";;;Coordenador das PJs de Formosa
186;.;5ª PROMOTORIA DE JUSTIÇA DE FORMOSA;FORMOSA;;;;;;PROVIDA;Danilo de Souza Resende;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal (Crimes dolosos contra a vida, Pres. do Tribunal do Júri e execuções penais), exceto nas sessões de julgamento do Tribunal do Júri e recursos decorrentes; atuação perante a Vara Regional de Execução Penal;";;;
187;.;6ª PROMOTORIA DE JUSTIÇA DE FORMOSA;FORMOSA;;;;;;PROVIDA;Andrea Beatriz Rodrigues de Barcelos;;;INTERMEDIÁRIA;"Atuação perante a Vara de Fazendas Públicas, Registros Públicos e Ambiental; defesa do cidadão e do patrimônio público;";;;
188;.;7ª PROMOTORIA DE JUSTIÇA DE FORMOSA;FORMOSA;;;;;;PROVIDA;João Paulo Cândido dos Santos Oliveira;;;INTERMEDIÁRIA;"Atuação perante a 3ª Vara Criminal (Crimes em geral e Violência Doméstica e Familiar Contra a Mulher), exceto nos crimes relativos à violência doméstica e familiar contra a mulher e nos crimes contra a administração pública;";;;
189;.;8ª PROMOTORIA DE JUSTIÇA DE FORMOSA;FORMOSA;;;;;;VAGA;** Sem Titular;;Lucas Danilo Vaz Costa Júnior;INTERMEDIÁRIA;"Atuação perante o Juizado Especial Cível e Criminal; atuação em matéria relativa à violência doméstica e familiar contra a mulher perante a 3ª Vara Criminal.";;;
190;.;1ª PROMOTORIA DE JUSTIÇA DE GOIANÉSIA;GOIANÉSIA;;;;;;PROVIDA;Márcia Cristina Peres;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara Cível, Ambiental e de Família e Sucessões; atuação perante o Juizado Especial Cível e Criminal; defesa do meio ambiente e da ordem urbanística; fiscalização das fundações;";CPJ 11 de 24 de Abril de 2023;https://mpgo.mp.br/portal/atos_normas/1875;Coordenadora das PJs de Goianésia
191;.;2ª PROMOTORIA DE JUSTIÇA DE GOIANÉSIA;GOIANÉSIA;;;;;;PROVIDA;Tommaso Leonardi;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Cível, de Família e Sucessões e da Infância e Juventude, exceto em matéria da infância e juventude; atuação perante a Vara das Fazendas Públicas e Registros Públicos; defesa do cidadão e do patrimônio público";CPJ 11 de 24 de Abril de 2023;https://mpgo.mp.br/portal/atos_normas/1875;
192;.;3ª PROMOTORIA DE JUSTIÇA DE GOIANÉSIA;GOIANÉSIA;;;;;;PROVIDA;Luciano Miranda Meireles;;;INTERMEDIÁRIA;"Atuação em matéria de educação, infância e juventude; execução penal;";CPJ 11 de 24 de Abril de 2023;https://mpgo.mp.br/portal/atos_normas/1875;
193;.;4ª PROMOTORIA DE JUSTIÇA DE GOIANÉSIA;GOIANÉSIA;;;;;;PROVIDA;Fernando Martins Cesconetto;Outra função de execução;Miranda Meireles *;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal (Crimes em geral e execuções penais), exceto em matéria de execução penal; defesa do consumidor;";CPJ 11 de 24 de Abril de 2023;https://mpgo.mp.br/portal/atos_normas/1875;
194;.;5ª PROMOTORIA DE JUSTIÇA DE GOIANÉSIA;GOIANÉSIA;;;;;;VAGA;** Sem Titular;;Elissa Tatiana Pryjmak *;INTERMEDIÁRIA;Atuação perante a 2ª Vara Criminal (Crimes em geral, crimes dolosos contra a vida e Presidência do Tribunal do Júri e crimes envolvendo violência doméstica - Lei n. 11.340/06).;CPJ 11 de 24 de Abril de 2023;https://mpgo.mp.br/portal/atos_normas/1875;
195;.;1ª PROMOTORIA DE JUSTIÇA DE GOIANIRA;GOIANIRA;;;;;;PROVIDA;Renata Miguel Lemos;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara (cível, criminal – crime em geral e execuções penais – e da infância e juventude), exceto em matéria de execução penal; defesa do direito à infância e juventude e da educação;";;;Coordenadora das PJs de Goianira
196;.;2ª PROMOTORIA DE JUSTIÇA DE GOIANIRA;GOIANIRA;;;;;;PROVIDA;Renata de Matos Lacerda;;;INTERMEDIÁRIA;"Atuação perante o Juizado Especial Cível e Criminal, bem como nos feitos referentes a registros públicos e fazendas públicas; defesa do cidadão; defesa do consumidor; defesa do meio ambiente, incluindo feitos criminais e cíveis correlatos; defesa do patrimônio público; fiscalização das fundações;";;;
197;.;3ª PROMOTORIA DE JUSTIÇA DE GOIANIRA;GOIANIRA;;;;;;PROVIDA;Paulo Rangel de Vieira;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara (cível, criminal – crime em geral, crimes dolosos contra a vida e Presidência do Tribunal do Júri –, das fazendas públicas, registros públicos e ambiental), excluídos dos feitos referentes a registros públicos, fazendas públicas e meio ambiente; exercício do controle externo da atividade policial, incluindo as visitas e inspeções às delegacias de polícia e às unidades da Polícia Militar; atuação em matéria de execução penal.";;;
198;.;1ª PROMOTORIA DE JUSTIÇA DE GOIÁS;GOIÁS;;;;;;PROVIDA;Edivar da Costa Muniz;;;INTERMEDIÁRIA;"Atuação perante a Vara Cível, Infância e Juventude e Juizado Especial Cível, bem como em matéria de família e sucessões perante a Vara das Fazendas Públicas e Registro Público e de Família e Sucessões; defesa do direito à educação; da infância e juventude, incluindo os trabalhos de visita e fiscalização em unidades de cumprimento de medidas socioeducativas de internação e de semiliberdade de adolescentes infratores; do consumidor; do meio ambiente e da ordem urbanística;";;;
199;.;2ª PROMOTORIA DE JUSTIÇA DE GOIÁS;GOIÁS;;;;;;PROVIDA;Luciene Maria Silva Oliveira Otoni;;;INTERMEDIÁRIA;"Atuação perante a Vara das Fazendas Públicas e Registro Público e de Família e Sucessões, exceto em matéria de família e sucessões; defesa do cidadão; do patrimônio público e fiscalização das fundações;";;;Coordenadora das PJs de Goiás
200;.;3ª PROMOTORIA DE JUSTIÇA DE GOIÁS;GOIÁS;;;;;;PROVIDA;Gabriella de Queiroz Clementino;Outra função de execução;Edivar Da Costa Muniz (Automático);INTERMEDIÁRIA;"Atuação perante a Vara Criminal (crime em geral, crimes dolosos contra a vida e Pres. do Trib. do Juri - Execução Penal e Juizado Especial Criminal), incluindo os trabalhos de inspeção a estabelecimentos prisionais; exercício do controle externo da atividade policial, incluindo as visitas e inspeções às delegacias de polícia e às unidades da Polícia Militar.";;;
201;.;1ª PROMOTORIA DE JUSTIÇA DE GOIATUBA;GOIATUBA;;;;;;VAGA;** Sem Titular;;Renata Aline Nunes Da Silva;INTERMEDIÁRIA;"Atuação perante a 1ª Vara (Cível, Criminal – crime em geral e execuções penais – e da Infância e da Juventude) e na área da infância e juventude, bem como na defesa do direito à educação;";;;Coordenadora das PJs de Goiatuba
202;.;2ª PROMOTORIA DE JUSTIÇA DE GOIATUBA;GOIATUBA;;;;;;PROVIDA;Adriano Godoy Firmino;Diretor da ESUMP;Rodrigo Fernandes Cruz Humberto *;INTERMEDIÁRIA;"Atuação perante a 2ª Vara (Cível, Criminal – crime em geral, crimes dolosos contra a vida e Presidência do Tribunal do Júri -, das Fazendas Públicas e Registros Públicos), em matéria de registros públicos, na defesa do patrimônio público, no combate à corrupção e à improbidade administrativa, na esfera cível e criminal, abrangendo a atribuição para oficiar nos processos judiciais decorrentes de sua atuação;";;;
203;.;3ª PROMOTORIA DE JUSTIÇA DE GOIATUBA;GOIATUBA;;;;;;PROVIDA;Rômulo Corrêa de Paula;;;INTERMEDIÁRIA;"Atuação perante o Juizado Especial Cível e Criminal; defesa do meio ambiente e urbanismo, do cidadão, do consumidor, incluindo as ações cíveis e criminais decorrentes de sua atuação; fiscalização das fundações.";;;
204;.;1ª PROMOTORIA DE JUSTIÇA DE INHUMAS;INHUMAS;;;;;;PROVIDA;Maurício Alexandre Gebrim;;;INTERMEDIÁRIA;"Matéria criminal e matéria Cível perante a 1ª Vara Judicial, Infância e Juventude;";;;Coordenador das PJs de Inhumas
205;.;2ª PROMOTORIA DE JUSTIÇA DE INHUMAS;INHUMAS;;;;;;PROVIDA;Sólia Maria de Castro Lobo;;;INTERMEDIÁRIA;"Juizado Cível e Criminal, Meio Ambiente, Patrimônio Público, Consumidor, Registros Públicos e Controle Externo da atividade policial;";;;
